SaleDateYear,RealEstateCategory,TotalNumberOfSales,TotalSales
 2013,Commercial,5,1467300
 2013,Land Only,1159,298683200.0
 2013,Misc.,197,23005447
 2013,Non-Profit,12,2433177
 2013,Residential,9919,2435866297.0
 2014,Commercial,11,5240500
 2014,Land Only,1202,413431811
 2014,Misc.,276,47928746
 2014,Non-Profit,20,21791500
 2014,Residential,12774,4284367881.0
 2015,Commercial,25,39482000
 2015,Land Only,1676,798901907.0
 2015,Misc.,311,46020822
 2015,Non-Profit,14,3809500
 2015,Residential,14803,5820201626.0
 2016,Commercial,7,1914500
 2016,Land Only,1103,261147947
 2016,Misc.,298,41020360.0
 2016,Non-Profit,16,6918000
 2016,Residential,12647,3924129821.0
 2019,Residential,2,237000
